evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
XXXIV Jornadas Anuales Económicas - BCU;URUGUAY;Ayerrra Marcos;Presidente;Comisión Nacional de Valores;Banco Central del Uruguay;2019-08-22;2019-08-22
Reunión de Jefes de Delegación ante la Convención Marco de las Naciones Unidas sobre el Cambio Climático;CHILE;Levaggi Marcia R.;Directora de Asuntos Ambientales;Administración Pública Nacional;Secretaría de la Convención Marco de las Naciones Unidas sobre el Cambio Climático;2019-08-27;2019-08-29
Taller Regional de Presupuestos de Gastos Climáticos;CHILE;Perez Scian Manuela;asesora;JEFATURA DE GABINETE DE MINISTROS;Banco Interamericano de Desarrollo (BID);2019-08-27;2019-08-30
Women in Security;COLOMBIA;Urreaga Silvina;Gerente de Seguridad y Medio Ambiente;Administración General de Puertos;ASIS International;2019-07-30;2019-08-03
Programa de cooperación de la UNIÓN EUROPEA;ALEMANIA;CACERES GARCÍA FAURE Manuel Osvaldo;Investigador;Subsecretaría de Energía Nuclear;RED POWDER-REG - UNIÓN EUROPEA;2019-06-14;2019-08-12
IV Congreso Boliviano de Semillas;BOLIVIA;LAVIGNOLLE RAIMUNDO;Presidente del Directorio;Ministerio de Agricultura, Ganadería y Pesca;INIAF;2019-08-28;2019-08-31
19°Seminario sobre Gas Natural;BRASIL;Natale Oscar;Director Nacional;Ministerio de Hacienda;Instituto Brasilero de Petróleo, Gas y Biocombustibles.;2019-08-13;2019-08-15
Taller de Herramientas de Litigación para presentar casos de Blanqueo de Capitales en un Juicio Oral;PANAMÁ;Aleo Sergio Orlando;Investigador;Ministerio de Justicia y Derechos Humanos;UNODC ROPAN;2019-05-28;2019-06-01
FRONTIERS OF PREVENTION II;ESTADOS UNIDOS;SCHONFELD SEBASTIÁN;DIRECTOR DE RELACIONES INSITUCIONALES;Ministerio de Justicia y Derechos Humanos;INSTITUTE FOR GENOCIDE AND MASS ATROCITY PREVENTION - BINGHAMTON UNIVERSITY;2019-04-03;2019-04-07
XXXVII REUNIÓN PLENARIA DEL FORO PERMANENTE DE DIRECCIONES PRESUPUESTO Y FINANZAS MENDOZA 2019;ARGENTINA;castillo carrillo maximiliano;secretario;Secretaría de Evaluación Presupuestaria, Inversión Pública y Participación Público Privada;foro permanente de direcciones de presupuesto y finanzas de la república argentina;2019-06-26;2019-06-27
III Congreso Paraguayo de Semillas;PARAGUAY;LAVIGNOLLE RAIMUNDO;Presidente del Directorio;Ministerio de Agricultura, Ganadería y Pesca;SENAVE;2019-07-24;2019-08-26
Diálogo Regional sobre Contribuciones Nacionalmente Determinadas (NDC) para América Latina y el Caribe (LAC);BRASIL;Rodriguez Rocio;Coordinadora;Ministerio de Hacienda;Programa de las Naciones Unidas para el Desarrollo (PNUD);2019-08-17;2019-08-21
PROYECTO ESPEME - QUESTIONING TRAUMATIC HERITAGE : SPACES OF MEMORY IN EUROPE, ARGENTINA AND COLOMBIA;ITALIA;IELLIMO LAURA MARCELA;ASESORA LEGAL;Ministerio de Justicia y Derechos Humanos;UNIVERSIDAD DE BOLOGNA;2019-06-09;2019-07-09
Seminario Intensivo de Formación de Formadores en Educación Energética y Ambiental.;ARGENTINA;Rodriguez Rocío;Coordinadora;Ministerio de Hacienda;Fundación Universidad de San Andrés;2019-08-21;2019-08-22
Investigación en topicos relacionados a la ingeniería electrónica;ALEMANIA;Bonaparte Juan José;Jefe División;Subsecretaría de Energía Nuclear;Karlsruhe institut fur technologie;2019-03-01;2019-08-15
Prisioner Operations Training (POT);COLOMBIA;Polidori José Leonardo;segundo jefe división investigación criminal;Dirección Nacional del Servicio Penitenciario Federal;Servicio de Alguaciles de los Estados Unidos;2019-03-10;2019-03-23
Curso Yeosu Academy of the Law of the Sea (Corea);COREA DEL SUR;ARMAS PFIRTER Frida María;Coordinadora General;Ministerio de Relaciones Exteriores y Culto;Yeosu Academy of the Law of the Sea (Corea);2019-08-25;2019-08-31
Reunión de consultoría sobre la propuesta de realizar una Encuesta Mundial sobre Datos de Recursos Humanos en el sector nuclear;AUSTRIA;SAYAN Julieta;Jefa Sección CALIDAD;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2019-07-14;2019-07-19
Reunión Técnica sobre QA/QC en Sistemas de Gestión de Instalaciones de Irradiación.;MALASIA;DOCTERS ANDREA SUSANA;GERENTE SEGURIDAD RADIOLÓGICA Y NUCLEAR;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA);2019-08-02;2019-08-11
Escuala de información Cuántica;BRASIL;Pedraza Perez Leonardo Andres;becario;Subsecretaría de Energía Nuclear;Escuela de informacion cuantica de paraty;2019-08-04;2019-08-12
Movin’ On;CANADÁ;MENENDEZ BEHETY MARIA;AGENTE;Ministerio de Transporte;Movin’ On Sustainable Mobility Fund;2019-06-02;2019-06-06
Cumbre de Transporte de las Americas 2019;ESTADOS UNIDOS;Lopez Menendez Maria Manuela;Secretaria de Obras de Transporte;Secretaría de Obras de Transporte;Banco Interamericano de Desarrollo;2019-06-25;2019-07-01
"""Jornadas Técnicas sobre construcción de Túneles""";ESPAÑA;Zielonka Ezequiel Alejandro;Asesor ADIFSE;Ministerio de Transporte;ICEX;2019-06-08;2019-06-15
"""Jornadas Técnicas sobre construcción de Túneles""";ESPAÑA;Tymkiw Henry Edgar;Asesor ADIFSE;Ministerio de Transporte;ICEX;2019-06-08;2019-06-15
"Viaje de estudio ""Smart Mobility in Urban Regions”.";SUIZA;RIZZI HÉCTOR MARIO;DIRECTOR NACIONAL DE TRANSPORTE URBANO SUSTETABLE;Secretaría de Planificación del Transporte;Embajada de Suiza en la República Argentina;2019-06-22;2019-06-30
5ta semana de la Seguridad Vial de las Naciones Unidas;ESTADOS UNIDOS;Wehbe Maria Eugenia;Directora General de Relaciones Institucionales;Ministerio de Transporte;Banco Mundial;2019-05-03;2019-05-07
5° Semana de Seguridad Vial Global;ESTADOS UNIDOS;López Menéndez María Manuela;Secretaria de Obras;Secretaría de Obras de Transporte;World Bank;2019-05-03;2019-05-07
Estudio de referencia de megatúneles en Corea;COREA DEL SUR;Zielonka Ezequiel Alejandro;Asesor Adifse;Ministerio de Transporte;Banco Interamericano de Desarrollo;2019-05-10;2019-05-19
Estudio de referencia de megatúneles en Corea;COREA DEL SUR;Tymkiw Henry Edgar;Asesor Adifse;Ministerio de Transporte;Banco Interamericano de Desarrollo;2019-05-10;2019-05-19
Estudio de referencia de megatúneles en Corea;COREA DEL SUR;Bussi Germán;Secretario de Planificación de Transporte;Ministerio de Transporte;Banco Interamericano de Desarrollo;2019-05-10;2019-05-19
XIX Curso Iberoamericano de Tecnología, Operaciones y Gestión Ambiental en Puertos;ESPAÑA;MORIÑIGO JUAN LUIS;DIRECTOR;Ministerio de Transporte;Comisión Interamericana de Puertos;2019-05-08;2019-06-08
Novena Sesión del Foro de la Alianza Regional del Sistema Global de Observación del Océano;JAPÓN;Scardilli Alvaro Santiago;Jefe Departamento Meteorología;Servicio de Hidrografía Naval;Sistema de Observación Global del Océano (GOOS);2019-07-31;2019-08-09
CONFERENCIA Foro de Compliance de ADEN Internacional, Corte de Justicia y Universidad Nacional de Cuyo;ARGENTINA;Scaglione Marcelo Alberto;Titular de la Unidad Ejecutora Especial Temporaria “Unidad de Gestión ante la Organización para la Cooperación y el Desarrollo Económicos (OCDE) (con Rango y Jerarquía de Subsecretario);Unidad de Gestión ante la Organización para la Cooperación y el Desarrollo Económicos;Fundación Alta Dirección;2019-08-01;2019-08-02
"""Primer foro internacional de políticas públicas para personas mayores de Paraguay""";PARAGUAY;Rubinstein Susana Ruth;Directora Nacional;Ministerio de Salud y Desarrollo Social;Agencia de Cooperación Internacional de Corea (KOICA);2019-08-05;2019-08-09
Stand delegación Argentina en el 24º WORLD SCOUT JAMBOREE;ESTADOS UNIDOS;Landaburo Ezequiel;Técnico;Administración de Parques Nacionales;Scouts de Argentina Asociación Civil;2019-07-20;2019-08-05
Interacmbio profesional del proyecto PAPILA;ALEMANIA;Espada Ramiro;Becario A1;Gerencia de Área Seguridad Nuclear y Ambiente;Unión Europea;2019-02-01;2019-08-07
Taller de trabajo: La Alianza del Pacífico y el MERCOSUR frente a la reforma del sistema multilateral de comercio: buscando espacios para la coordinación regional;CHILE;Tempone Rubén Eduardo Miguel;Director Nacional;Ministerio de Relaciones Exteriores y Culto;Comisión Económica para América Latina y el Caribe;2019-08-06;2019-08-09
Reunión Técnica de la Agencia Internacional de Energía Atómica (OIEA), “Avances recientes en la eliminación de contaminantes biológicos por radiación” (EVT1804859);PORTUGAL;Vogt María Verónica;Investigador;Comisión Nacional de Energía Atómica;Agencia Internacional de Energía Atómica (OIEA);2019-07-06;2019-07-14
REUNION DEL CONSEJO DE ADMINISTRACION DE LA UIT;SUIZA;HUICI HECTOR MARIA;SECRETARIO TIC;Administración Pública Nacional;UIT;2019-06-08;2019-08-17
Best Practices for Blue Fishing Ports;ESPAÑA;Valdez Diez Federico;Jefe de Gabinete;Administración General de Puertos;MarInnLeg;2019-06-04;2019-06-08
"""Seminario Iberoamericano sobre Prevención y abordaje de la violencia, maltrato y abuso a las personas mayores. Prácticas enmarcadas en el Buen Trato"".";COLOMBIA;Maiolino Cynthia Solange;Técnica;Secretaría Nacional de Niñez, Adolescencia y Familia;Organización Iberoamericana de Seguridad Social (OISS);2019-07-28;2019-08-04
XV Reunión de la Red de Presupuesto por Resultados;ESPAÑA;STABILE Fernando Benito;Director Nacional;Jefatura de Gabinete de Ministros;EURO SOCIAL;2019-06-15;2019-06-19
Tendencias Internacionales de Regulación y Supervisión Financiera en Iberoamérica (2ª Ed);COLOMBIA;BOEDO PATRICIA NOEMI;VICEPRESIDENTE;MHA;INSTITUTO IBEROAMERICANO DE MERCADOS DE VALORES;2019-06-03;2019-06-08
LEADERSHIP FOR LAW ENFORCEMENT SUPERVISORS COURSE;EL SALVADOR;MOREL DAVID ANDRES;AYUDANTE MAYOR;Ministerio de Justicia y Derechos Humanos;EMBAJADA DE LOS ESTADOS UNIDOS EN ARGENTINA;2019-05-05;2019-05-11
XXVIII LA JOLLA ENERGY CONFERENCE 2019;ESTADOS UNIDOS;Roitman Mauricio Ezequiel;Presidente;Ente Nacional Regulador del Gas;institute of the americas;2019-05-20;2019-05-26
Visita de intercambio con la Dirección de Presupuestos de Chile (DIPRES);CHILE;Diaz Frers Luciana Karina;Directora Nacional de Política Fiscal y de Ingresos;Subsecretaría de Programación Macroeconómica;Asociación Internacional de Presupuesto (ASIP);2019-07-18;2019-07-20
Segundo Taller Regional Latinoamericano – Datos oportunos, fiables y de gran calidad: Espejos de gobernanza y confianza;BOLIVIA;VIAZZI MARIA SILVINA;DIRECTORA;Instituto Nacional de Estadística y Censos;INTER-AMERICAN DEVELOPMENT BANK;2019-09-09;2019-09-13
20° Conmemoración de la creación de la Superintendencia de Mercados de Valores de Panamá;PANAMÁ;Ferré Emilio;Gerente de Asuntos Internacionales;Comisión Nacional de Valores;Instituto Iberoamericano de Mercados de Valores;2019-07-08;2019-07-11
Curso;ESTADOS UNIDOS;Abal Pablo Gustavo;Jefe de Área;Dirección Nacional de Planificación y Convergencia;United States Telecommunications Training Institute (USTTI);2019-06-21;2019-06-30
NSSC Programmes on Security of Radioactive Material and Associated Facilities;AUSTRIA;Fourcade Martín;Asesor;Subsecretaría de Energía Nuclear;Organismo Internacional de Energía Atómica;2019-07-20;2019-07-27
81ª Reunión del Bureau de la OMM – 38ª Reunión del FINAC - 18ª Congreso Meteorológico Mundial y 71ª Reunión Consejo Ejecutivo de la OMM;SUIZA;Saulo Andrea Celeste;Directora;Ministerio de Defensa;Organización Meteorológica Nacional;2019-05-29;2019-06-21
OCTOGESIMA REUNION DE LA MESA DE LA OMM y REUNION CONJUNTA DE LOS PRESIDENTES DE LAS ASOCIACIONES REGIONALES Y DE LOS PRESIDENTES DE LAS COMISIONES TECNICAS Y DEL EQUIPO ESPECIAL PARA LA REFORMA DE LOS ORGANOS INTEGRANTES DEL CONSEJO EJECUTIVO;SUIZA;Saulo Andrea Celeste;Directora;Ministerio de Defensa;Organización Meteorológica Mundial;2019-01-26;2019-02-02
7ma Reunión del Bureau de SAICM;RUSIA;Grimalt Maria Florencia;Secretario de 3ra;MINISTERIO DE RELACIONES EXTERIORES Y CULTO;Secretaría SAICM;2019-07-07;2019-07-12
Misión Experto;PERÚ;Sanz Dario Esteban;Investigador;Gerencia de Área Investigación y Aplicaciones No Nucleares;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA);2019-07-07;2019-07-14
Managing Effectively in the Changing Telecommunications Environment;ESTADOS UNIDOS;Pastor Enrique Omar;Subdirector;Dirección Nacional de Planificación y Convergencia;United States Telecommunications Training lnstitute (USTTI);2019-06-21;2019-06-30
164° Reunión de Directorio Ejecuitivo;BOLIVIA;SOTO Félix Martín;Subsecretario;Secretaría de Hacienda;FONPLATA;2019-05-14;2019-05-15
CLXVI reunión del Directorio;URUGUAY;SOTO Félix Martín;Subsecretario;Secretaría de Hacienda;CAF;2019-07-08;2019-07-09
Awareness programme at the UK Data Science Campus;REINO UNIDO;Poledo Mariano;Asesor;Instituto Nacional de Estadística y Censos;Embajada Británica;2019-09-16;2019-07-19
Conferencia Regional (RECO) de la Asociación Regional III y en la 17ava Reunión de la Asociación Regional III de la Organización Meteorológica Mundial.;CHILE;Saulo Andrea Celeste;Directora;Ministerio de Defensa;Organización Meteorológica Mundial;2018-11-18;2018-11-24
4° Taller Conjunto entre la Organización de las Naciones Unidas y la Organización para la Cooperación y el Desarrollo Económicos (OCDE) sobre la Negociación de Convenios Tributarios.;AUSTRIA;Munizaga Matías;Asesor de la Dirección de Relaciones Tributarias Internacionales;Dirección Nacional de Impuestos;Organización de las Naciones Unidas;2019-07-13;2019-07-20
Reuniones de Diálogo Energético entre Argentina y la Unión Europea;BÉLGICA;Deluchi Facundo Abel;Director Nacional;Subsecretaría de Energía Nuclear;Comisión Europea;2019-07-07;2019-07-19
2º Taller Hispano Argentino de Seguridad de Presas. Intercambio Técnico y Taller en Seguridad de Presas;ESPAÑA;Santilli Carlos Alberto;Director;Organismo Regulador de Seguridad de Presas;CAF - Banco de desarrollo de América Latina;2019-07-06;2019-07-14
Taller regional sobre tecnologías emergentes para aplicaciones industriales.;MÉXICO;Pachado Jose Alberto;Jefe de Departamento;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica- Viena, Austria;2019-07-13;2019-07-20
ENCUENTRO DE NUEVAS TECNOLOGÍAS DE BÚSQUEDA FORENSE;MÉXICO;PREGLIASCO RODOLFO GUILLERMO;JEFE DE SECCION FÍSICA FORENSE;Gerencia de Área Investigación y Aplicaciones No Nucleares;CONICET;2019-07-01;2019-07-06
"""Dimensión de la Economía Social y Solidaria: Producción, Comercialización, Financiación y Consumo""";ECUADOR;Rozengardt Diego Leandro;Coordinador;Ministerio de Salud y Desarrollo Social;Ministerio de Inclusión Económica y Social;2019-07-17;2019-07-20
Programa Mundial de Facilitación del Comercio de la OMA-SECO (GTFP));PERÚ;Lujan Martín Gastón;JEFE DE DIVISION EVALUACION Y DESARROLLO NORMATIVO (DE TEEX);Ministerio de Hacienda y Finanzas Públicas;Organización Mundial de Aduanas;2019-07-14;2019-07-24
Planificación estratégica de los Servicios Meteorológicos Iberoamericanos;GUATEMALA;Moreno Daniela Gimena;Analista PMO;Servicio Meteorológico Nacional;AEMET;2019-07-07;2019-07-12
Reunión de la Comisión Delegada de la Conferencia de Ministros de Justicia de los Países Iberoamericanos, COMJIB.;ESPAÑA;CASARES RICARDO MARTIN;Titular;Ministerio de Justicia y Derechos Humanos;COMJIB;2018-09-29;2018-10-05
Curso Internacional de Capacitación en Sistemas Estatales de Contabilidad y Control de Material Nuclear;COREA DEL SUR;Ziobrowski Gonzalo Julián;Asesor Técnico;Comisión Nacional de Energía Atómica;IAEA;2019-06-29;2019-07-14
SEMINARIO;ARGENTINA;CCCCC NNNNN;JEFE;Gerencia Planificación, Coordinación y Control;PUR;2018-03-21;2018-03-23
42º CONGRESO MUNDIAL DE LA VIÑA Y EL VINO;SUIZA;MARIANETTI ALEJANDRO;JEFE DE DEPARTAMENTO DE ESTUDIOS VITICOLAS;Instituto Nacional de Vitivinicultura;ORGANIZACION MUNDIAL DE LA VIÑA Y EL VINO (OIV);2019-07-13;2019-07-21
IAEA Regional training course on best practies on maintaining and discharching safety responsabilities during organizational changes;BRASIL;Young Antonio;Jefe división asistencia tecnica de gerencia general operativa;Subsecretaría de Energía Nuclear;Organismo Internacional de Energía Atómica;2019-06-24;2019-06-28
Technical Meeting on Networking Educational Networks;AUSTRIA;CHAVEZ FLORES Alejandra Teresa;Subgerenta;Subsecretaría de Energía Nuclear;OIEA;2019-06-29;2019-07-06
Revision de pares (peer Review) en la Central Nuclear Hunterston 8;REINO UNIDO;Pegoraro Guillermo Martin;Jefe de División Procesos;Subsecretaría de Energía Nuclear;World Association of Nuclear Operators (Paris);2019-05-25;2019-06-16
Advance capacity building in preparedness and response to nuclar incidents and emergencies;ESTADOS UNIDOS;Piovano Marcela Susana;Jefe de sección estudios de emplazamiento;Subsecretaría de Energía Nuclear;OIEA (Organismo Internacional de Energía Atómica);2019-05-31;2019-06-15
"Curso “5G - The Path to the Next Generation,”“Digital Transformation: Unlocking the Potential of IoT,”“Regulatory Principles and Best Practices,”“Creating a Regulatory Environment for Cloud Services,”“Enabling the Full Value of Wireless Connectivity""";ESTADOS UNIDOS;Levi José Darío;Jefe de Área Planificación y Gestión de Redes Radioeléctricas;Ente Nacional de Comunicaciones;UNITED STATES TELECOMMUNICATIONS TRAINING INSTITUTE - USTTI;2019-03-16;2019-03-28
2DO TALLER HISPANO – ARGENTINO DE SEGURIDAD DE PRESAS;ESPAÑA;BANY ALEJANDRO;Ingeniero Electromecanico;Ministerio del Interior, Obras Públicas y Vivienda;CAF;2019-07-06;2019-07-14
TALLER HISPANO ARGENTINO DE SEGURIDAD DE PRESAS;ESPAÑA;DALMATI RODOLFO ENRIQUE;PRESIDENTE;Organismo Regulador de Seguridad de Presas;CORPORACIÓN ANDINA DE FOMENTO;2019-07-06;2019-07-14
Smart City Expo Latam Congress 2019;MÉXICO;BRIZUELA AGUSTINA;EXTERNO;Secretaría de Gobierno de Modernización;Fira Barcelona Mexico;2019-07-01;2019-07-05
2DO TALLER HISPANO – ARGENTINO DE SEGURIDAD DE PRESAS;ESPAÑA;PERTIERRA AILIN;Jefe del Departamento de Ingeniería;Ministerio del Interior, Obras Públicas y Vivienda;CAF;2019-07-06;2019-07-14
2 Taller Hispano-Argentino de Seguridad de Presas y Visita Técnica Presas Confederación Hidrográfica del Guadalquivir;ESPAÑA;Barber Hebe Marta;Jefe de Departamento;Organismo Regulador de Seguridad de Presas;CAF;2019-07-06;2019-07-14
United Nations High-Level Political Forum on sustainable development (HLPF) and side events: Justice for All Event, ministerial dinner on Access to Justice for All, governance for the SDGs, SDG16+ and the Future We Want followed by reception.;ESTADOS UNIDOS;RODRÍGUEZ María Fernanda;Secretaria de Justicia;Ministerio de Justicia y Derechos Humanos;Center for International Cooperation New York University;2019-07-10;2019-07-18
Reunión de Evaluación y Determinación de las Necesidades de los Países en Desarrollo;FILIPINAS;Parodi Maria Antonella;Secretario de Embajada y Consul de Tercera Clase;Ministerio de Relaciones Exteriores y Culto;Convencion Marco de las Naciones Unidas sobre el Cambio Climatico;2019-07-11;2019-07-14
23 Reunión de la Junta del Fondo Verde para el Clima;COREA DEL SUR;Parodi Maria Antonella;Secretario de Embajada y Consul de Tercera Clase;Ministerio de Relaciones Exteriores y Culto;Fondo Verde para el Clima;2019-07-05;2019-07-10
41ª Reunión del Grupo de Trabajo de Composición Abierta de las Partes del Protocolo de Montreal;TAILANDIA;Parodi Maria Antonella;Secretario de Embajada y Consul de Tercera Clase;MREC;Protocolo de Montreal;2019-06-30;2019-07-05
DIÁLOGO ENERGÉTICO ENTRE ARGENTINA Y LA UNIÓN EUROPEA.;BÉLGICA;Mastronardi Leonardo Javier;Asesor;Subsecretaría de Planeamiento Energético;Unión Europea;2019-07-06;2019-07-14
Estadía Científica;AUSTRIA;Allen Pablo;Investigador;Subsecretaría de Energía Nuclear;Allen Pablo;2019-06-21;2019-07-08
Taller de Trabajo sobre indicadores portuarios de la UNCTAD y Defensa de Monografías en Perú;PERÚ;Eckell Martín;Subgerente de la Coordinación de Control de Consesiones, Permisos de Uso e Ingresos;Administración General de Puertos;ONU - UNCTAD/TrainForTrade;2019-05-05;2019-05-10
XXIII REUNION ANUAL DE ENTIDADES IBEROAMERICANAS REGULADORAS DE LA ENERGIA (ARIAE), VII ARIAE - CEER Meeting y IV Junta Anual Ordinaria de Asamblea General ARIAE;REPÚBLICA DOMINICANA;Roitman Mauricio Ezequiel;Presidente;Ente Nacional Regulador del Gas;Banco Interamericano de Desarrollo - BID;2019-05-06;2019-05-10
Noveno Curso de Entrenamiento de la UNESCO IOC;CHINA;Barreira Sandra Cristina Balbina;Directora de Investigación;Servicio de Hidrografía Naval;Primer Instituto de Oceanografía de China;2019-06-14;2019-06-26
Taller latinoamericano sobre medidas de respuesta;CHILE;Gauna Nicolás;Secretario de segunda;Administración Pública Nacional;Convención Marco de Naciones Unidas para el Cambio Climático;2019-05-21;2019-05-25
Reunion Regional Marco Post2020 CBD;URUGUAY;Morales Renato Ivan Agustin;Tercer Secretario;Administración Pública Nacional;Naciones Unidas;2019-05-13;2019-05-18
Conferencia de Trondheim sobre Biodiversidad;NORUEGA;Morales Renato Ivan Agustin;Tercer Secretario;Administración Pública Nacional;Gobierno de Noruega;2019-07-01;2019-07-05
"""Pact for Impact Summit"" Paris 2019";FRANCIA;Kelly Matías;Secretario de Economía Social;Secretaría de Economía Social;Ministerio de Transición Ecológica y Solidaria de la República de Francia.;2019-07-09;2019-07-12
Comité Ejecutivo Alianza para las Montañas;ITALIA;Morales Renato Ivan Agustin;Tercer Secretario;Administración Pública Nacional;Naciones Unidas;2019-03-24;2019-03-29
Bureau UNCCD;CHINA;Morales Renato Ivan Agustin;Tercer Secretario;Administración Pública Nacional;Naciones Unidas;2019-02-23;2019-02-28
CAMPAÑA OCEANOGRAFICA PROYECTO SAMOC;BRASIL;Charo Marcela;INVESTIGADOR;Servicio de Hidrografía Naval;Fundação de Amparo à Pesquisa do Estao de São Paulo;2019-06-13;2019-07-03
"Reunión para difundir y ampliar la aplicación del programa ""Tomando Control sobre la Salud"".";PERÚ;Rubinstein Susana Ruth;Directora Nacional;Ministerio de Salud y Desarrollo Social;Organización Panamericana de la Salud (OPS);2019-07-01;2019-07-04
PROGRAMA DE COOPERACIÓN BILATERAL ENTRE MINCYT, CONICET Y DFG ALEMAN - REUNIONES EN EL MARCO DEL PROYECTO DGF/16/10;ALEMANIA;FAINSTEIN ALEJANDRO;INVESTIGADOR;Subsecretaría de Energía Nuclear;INSTITUTO PAUL DRUDE (PDI);2019-06-14;2019-06-30
8° Conferencia Mundial de la Iniciativa para la Transparencia de las Industrias Extractivas (EITI);FRANCIA;Crespo María Luján;Asesora;Subsecretaría de Planeamiento Energético;EITI;2019-06-15;2019-06-23
Novena Reunión del Grupo de Trabajo Ad Hoc de Reforma del Sistema Multilateral de Acceso y Distribución de Beneficios del TIRFAA;ITALIA;ALTAVISTA MANRIQUE;Consejero;Administración Pública Nacional;TIRFAA;2019-06-17;2019-06-21
Reunión sobre Monitoreo Global de los ODS y los Objetivos Urbanos de la NUA en las Ciudades de la ONU Hábitat.;PERÚ;Alvarez de Celis Fernando;Secretario;Secretaría de Planificación Territorial y Coordinación de Obra Pública;ONU Habitat;2019-06-25;2019-07-02
2do Taller de Mitigacion de Amenazas Internas;CHILE;Bieda Tomas;Director;Dirección de Políticas de Seguridad Nuclear y No Proliferación;Departamento de Energia de EEUU;2019-06-24;2019-06-28
Revision de Papers;AUSTRIA;Longo Pedro Matias;Asesor;Dirección de Políticas de Seguridad Nuclear y No Proliferación;OIEA;2019-06-22;2019-06-28
Reunión de la Red Latinoamericana de Gobierno Corporativo de las Empresas Públicas;PERÚ;SANCHEZ FERNANDO;SECRETARIO;Jefatura de Gabinete de Ministros;OCDE;2019-06-26;2019-06-29
Seminario Taller (workshop). Comisión de Economía de la Asamblea Legislativa. Consideración del Proyecto de Decreto Ley de Comercio Electrónico. Organizan Comisión de Economía;EL SALVADOR;Baqué María Inés;Secretaria;Secretaría de Gobierno de Modernización;USAID;2019-06-24;2019-06-28
8° Conferencia Mundial de la Iniciativa para la Transparencia de las Industrias Extractivas (EITI);FRANCIA;Del Hoyo Sebastián;Asesor;Subsecretaría de Planeamiento Energético;EITI;2019-06-15;2019-06-23
Acto lanzamiento convocatoria proyectos Yaguarete;ARGENTINA;Lardone Maria Julia;Asesor;Dirección de Asuntos Ambientales;Programa Pequeñas Donaciones del GEF;2019-07-02;2019-07-03
Taller Políticas Públicas para la Erradicación de la Violencia de Género: oportunidades y retos;CHILE;Rodríguez María Fernanda;Secretaria de Justicia;Secretaría de Justicia;Banco Interamericano de Desarrollo (BID);2018-11-04;2018-11-05
Reunión del Grupo de Trabajo de Alto Nivel sobre Acceso a la Justicia para las Mujeres;HOLANDA;Rodríguez María Fernanda;Secretaria de justicia;Secretaría de Justicia;ONU - Igualdad de Género y el Empoderamiento de la Mujer;2018-05-26;2018-05-31
Encuentro de vicepresidentes y gerentes de planta;FRANCIA;Cantarelli Juan Alberto;Gerente CNE;Subsecretaría de Energía Nuclear;WANO;2019-05-26;2019-05-31
Reunión del Grupo Global de Expertos sobre la Corrupción que involucra Vastas Cantidades de Activos - Global Expert Group Meeting on Corruption involving Vast Quantities of Assets;NORUEGA;GALAFASSI ADRIANA;DIRECTORA NACIONAL DE INVESTIGACIONES;Ministerio de Justicia y Derechos Humanos;UNODC;2019-06-10;2019-06-17
Participación en el marco de la celebración del “II Taller sobre Cooperación Digital entre la Unión Europea, América Latina y el Caribe” en el que disertó en representación de la RECAM;COSTA RICA;Bertolotti Julio César;Subgerente Observatorio Audiovisual INCAA;OA#INCAA;Dirección General de Redes de Comunicación Contenido y Tecnologías Comisión Europa;2019-03-19;2019-03-22
Segunda reunión del Grupo de Trabajo para la Justicia (En carácter de Subsecretaria de Acceso a la Justicia);SIERRA LEONA;Rodríguez María Fernanda;secretaría de justicia;Secretaría de Justicia;Gobierno de Sierra Leona;2018-10-06;2018-10-15
56 Consejo del Fondo para el Medio Ambiente Mundial;ESTADOS UNIDOS;ALTAVISTA MANRIQUE;Consejero;Administración Pública Nacional;Fondo para el Medio Ambiente Mundial;2019-06-10;2019-06-14
Reunión Informal en el marco de las negociaciones de Reforma del Sistema Multilateral del TIRFAA;ITALIA;ALTAVISTA MANRIQUE;Consejero;Administración Pública Nacional;Tratado Internacional sobre Recursos Fitogenéticos para la Alimentación y la Agricultura;2019-05-27;2019-05-31
CONFERENCIA INTERNACIONAL DE NANOPARTÍCULAS MAGNÉTICAS - ICFPM19 y reuniones con colegas.;ESPAÑA;Winkler Elin Lilian;INVESTIGADORA;Subsecretaría de Energía Nuclear;COMISIÓN EUROPEA;2019-05-24;2019-06-25
5° Mesa Redonda Global de Consejería Legal (En carácter de Subsecretaría de Acceso a la Justicia);PORTUGAL;Rodríguez María Fernanda;Secretaria de justicia;Secretaría de Justicia;Open Society Justice Initative;2019-03-26;2019-03-29
Debate sobre la perspectiva futura de cooperación bilateral y sobre las reformas en los campos de la justicia y el estado de derecho que se están llevando a cabo entre Ucrania y Argentina (En carácter de Subsecretaría de Acceso a la Justicia);UCRANIA;Rodríguez María Fernanda;Secretaria de Justicia;Secretaría de Justicia;Open Society Justice Initative;2019-04-02;2019-04-07
