Descripcion;Funcionario;Cargo;Organismo;Fecha;Valor_estimado;Destino;Entregado_por
Una (1) frapera de cobre;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-06-28;Inferior a 4 módulos.;Museo Casa Rosada;Da. Michelle Bachelet Sra. Presidente de la República de Chile
Seis (6) copas de vino con pie de color cobre;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-06-28;Inferior a 4 módulos.;Museo Casa Rosada;Honorable Cámara de Diputados de la República de Chile
Un (1) reloj de mesa con detalles en lapislázuli;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-06-28;Inferior a 4 módulos.;Museo Casa Rosada;Honorable Senado de la República de Chile
Un (1) sombrero genuino de paja toquilla;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-05-25;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Juez Sr. Embajador de la República en Ecuador, D. Luis Alfredo
Un (1) juego de copas facetadas a mano;Macri Mauricio;Presidente de la Nación;Presidencia de la Nación;2017-05-05;Inferior a 4 módulos.;Residencia Presidencial de Olivos;de Martiis Vicente
Libro oficial de la Provincia de Jujuy;Bullrich Patricia;Ministra de Seguridad;Ministerio de Seguridad;2017-10-03;Inferior a 4 módulos.;;Gobernación de Jujuy
Mantel, Camino e Individuales en tela tradicional con diseño persa.;Zlauvinen Gustavo Rodolfo;Subsecretario de Relaciones Exteriores;Ministerio de Relaciones Exteriores y Culto;2017-10-17;Inferior a 4 módulos pero con valor institucional (Art. 3, tercer párrafo, Anexo I, Dec. N° 1179/16).;;Embajada de la República Árabe SIria
Bandeja de Alpaca con forma de hoja con mango de asta hecho a mano;Santos Gustavo;Ministro de Turismo;Ministerio de Turismo;2017-09-30;Inferior a 4 módulos.;;Intendencia de Mendoza
Frasco de mermelada artesanal, sabor Naranja, de 480gr.;Castilla Mercedes;Directora del Registro Nacional de Efectores de Desarrollo Local y Economía Social;Dirección del Registro Nacional de Efectores de Desarrollo Local y Economía Social;2017-10-11;Inferior a 4 módulos.;Funcionario;Fundación Todavía es Tiempo
"Libro ""Vino Argentino"" de Laura Catena";Santos Gustavo;Ministro de Turismo de la Nación;Ministerio de Turismo;2017-09-30;Inferior a 4 módulos.;;Catena Laura
Libro Gaucho- Indumentaria y Prataria. Véra Stedile Zattera;Santos Gustavo;Ministro de Turismo;Ministerio de Turismo;2017-09-30;Inferior a 4 módulos.;;Comissao de Desenvolvimento Economico
Vinho Fino BOSCATO- Origen Brasil;Santos Gustavo;Ministro de Turismo;Ministerio de Turismo;2017-09-30;Inferior a 4 módulos.;;Comisao de Desenvolvimento Economico
1 Vino Bodega Catena Zapata;Lanus Ramón;Presidente;Agencia de Administración de Bienes del Estado;2017-10-04;Inferior a 4 módulos.;Para su uso;En representación de Club Las Palmas
VINO TRAPICHE GRAN MEDALLA MALBEC 2013;Lanus Ramón;Presidente;Agencia de Administración de Bienes del Estado;2017-09-29;Inferior a 4 módulos.;Para su uso;Beccar Varela Rufino
Vino Rutini - cabernet - malbec 2014 (750 ml) en caja de madera con accesorios (destapador, termómetro, corta gota, tapón y pico vertedor);Lanus Ramón;Presidente;Agencia de Administración de Bienes del Estado;2017-09-29;Inferior a 4 módulos.;Sorteo entre empleados de la agencia;Mercado José Manuel
1 botella de champagne y 1 copa de vidrio;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-03;Inferior a 4 módulos.;;Intendencia de Guaymallén, Mendoza
1 cuchillo;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-03;Inferior a 4 módulos.;;Intendencia de Guaymallén, Mendoza
1 caja de chocolates;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-12;Inferior a 4 módulos.;;ITU
1 corbata;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-12;Inferior a 4 módulos.;;ITU
1 vino;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-11;Inferior a 4 módulos.;;Gobierno de la República de Eslovenia
Tarjetero de madera pintado a mano por artesano ruso, de 15 cm. x 10 cm.;Raimondi Guillermo Daniel;Secretario de Relaciones Exteriores;Ministerio de Relaciones Exteriores y Culto;2017-10-12;Inferior a 4 módulos.;;Embajada de la Federacdión de Rusia
Plato metálico;TRIACA ALBERTO JORGE;MINISTRO;MT;2017-10-13;Inferior a 4 módulos.;;INTERNATIONAL LABOUR AND EMPLOYMENT RELATIONS ASSOCIATION (ILERA)
Placa con la siguiente leyenda: ROTARY CLUB de BUENOS AIRES, AL LIC. JORGE TRIACA, por su participación en el ciclo de conferencias.;TRIACA ALBERTO JORGE;MINISTRO;Ministerio de Trabajo, Empleo y Seguridad Social;2017-10-04;Inferior a 4 módulos.;;Rotary Club
PRODUCTOS PERECEDEROS REGIONALES, MIEL, VINO, ALMIBAR Y CHORIZO SECO;FRIGERIO ROGELIO;MINISTRO;Ministerio del Interior, Obras Públicas y Vivienda;2017-10-06;Inferior a 4 módulos.;;MUNICIPALIDAD
"Cuadro que posee una lamina de ""El Jardinero"" de E. Monaco.";Devoto Mauricio;Secretario;Ministerio de Justicia y Derechos Humanos;2017-07-06;Inferior a 4 módulos.;CONSAVIG;Tribunal de Diciplina de Abogados de la Provincia de Cordoba
Mochila;Abadie Daniel Alejandro;Subsecretario;Ministerio de Modernización;2017-09-22;Inferior a 4 módulos.;;OECD
1 Fujiyama;Ibarra Andrés;Ministro;Ministerio de Modernización;2017-10-10;Inferior a 4 módulos.;;Gobierno de Japón
1 abanico;Andrés Ibarra;Ministro;Ministerio de Modernización;2017-10-10;Inferior a 4 módulos.;;Gobierno de Japón
"Alpargatas de jean color azul y gris, con suela de goma negra ""Marca XINCA"" zapatillas sustentables. Producto que en el proceso de produccion trabajan con personas que se encuentran en estado de vulnerabilidad social.";Aguado Jorge Mariano;SECRETARIO;Ministerio de Ciencia, Tecnología e Innovación Productiva;2017-09-27;Inferior a 4 módulos.;;DANONE S.A,
Vino - Estuches Terruño Malbec x2 - Hess Family Latin America -100;Peña Marcos;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2017-09-06;Inferior a 4 módulos.;Secretaría Privada JGM;Grande Martín
